============================================================
RELATÓRIO FINAL CONSOLIDADO - SISTEMA DE PEÇAS
============================================================
Data/Hora da exportação: 31/08/2026 23:24:30
============================================================

RESUMO GERAL
----------------------------------------
Total de peças processadas: 284
▶ Peças APROVADAS: 284 (100.0%)
▶ Peças REPROVADAS: 0 (0.0%)

DETALHAMENTO POR COR
----------------------------------------
▶ Aprovadas - Cor AZUL: 160 (56.3% do total)
▶ Aprovadas - Cor VERDE: 124 (43.7% do total)

ARMAZENAMENTO
----------------------------------------
▶ Caixas utilizadas: 28
▶ Caixa atual: 4/10 peças

LISTA COMPLETA DE PEÇAS
----------------------------------------
  P001 | 100.0g | azul | 10.0cm | APROVADA | 31/08/2026 23:21:42
  P0001 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:22:24
  P0002 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0003 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0004 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0005 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0006 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0007 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0008 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0009 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0010 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0011 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0012 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0013 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0014 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0015 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0016 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0017 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0018 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0019 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0020 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0021 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0022 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0023 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0024 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0025 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0026 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0027 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0028 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0029 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0030 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0031 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0032 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0033 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0034 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0035 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0036 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0037 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0038 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0039 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0040 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0041 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0042 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0043 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0044 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0045 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0046 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
  P0047 | 100.0g | verde | 15.0cm | APROVADA | 31/08/2026 23:23:49
